         1             2        0.50     38  51     0.23(0.00) -0.78(0.00)  0.04(0.00)  0.00(0.00)  0.41(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00)  0.41(0.00) -0.00(0.00)  0.00(0.00) 
         1             2        0.50      6  51     0.45(0.00) -0.47(0.00) -0.28(0.00)  0.00(0.00)  0.71(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00) -0.00(0.00) 
         1             1        1.00     82  63     0.33(0.00) -0.61(0.00)  0.13(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00)  0.71(0.00)  0.00(0.00) 
         1             1        1.00     81  69     0.07(0.00) -0.69(0.00)  0.46(0.00)  0.10(0.00) -0.00(0.00) -0.00(0.00)  0.00(0.00)  0.20(0.00)  0.03(0.00)  0.50(0.00)  0.00(0.00) 
         1             1        1.00     81  50     0.12(0.00) -0.62(0.00)  0.60(0.00)  0.25(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.31(0.00) -0.00(0.00)  0.31(0.00) 
         1             1        1.00     79  52     0.11(0.00) -0.75(0.00)  0.42(0.00)  0.05(0.00)  0.00(0.00)  0.03(0.00) -0.00(0.00)  0.10(0.00)  0.31(0.00)  0.00(0.00)  0.37(0.00) 
         1             1        1.00     72  43     0.49(0.00) -0.05(0.00)  0.66(0.00)  0.45(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00)  0.00(0.00)  0.04(0.00)  0.00(0.00)  0.34(0.00) 
         1             1        1.00     59  94    -0.69(0.00) -0.28(0.00)  0.29(0.00)  0.00(0.00) -0.00(0.00)  0.03(0.00)  0.00(0.00) -0.00(0.00)  0.57(0.00) -0.00(0.00)  0.20(0.00) 
         1             1        1.00     22  21    -0.11(0.00) -0.33(0.00)  0.62(0.00)  0.00(0.00)  0.00(0.00)  0.71(0.00) -0.00(0.00) -0.00(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00) 
         1             1        1.00     21   8    -0.04(0.00) -0.66(0.00)  0.58(0.00)  0.28(0.00)  0.00(0.00)  0.23(0.00)  0.00(0.00)  0.00(0.00)  0.29(0.00)  0.00(0.00)  0.08(0.00) 
         1             1        1.00     10  38    -0.61(0.00) -0.25(0.00)  0.26(0.00)  0.00(0.00)  0.71(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00) 
